,Data,TMAX,TMIN,PRCP
941,199403,303,-9999,0
942,199404,-9999,-9999,0
943,199405,347,150,8
944,199406,-9999,-9999,0
945,199407,268,178,183
946,199408,270,156,33
947,199409,254,-9999,0
948,199410,-9999,145,0
949,199411,273,141,0
950,199412,-9999,122,-9999
951,199501,-9999,-9999,0
952,199502,-9999,-9999,0
953,199503,300,-9999,0
954,199504,307,105,-9999
955,199505,-9999,136,0
956,199506,287,146,297
957,199507,-9999,-9999,0
958,199508,256,90,15
959,199509,-9999,130,3
960,199510,281,132,163
961,199511,-9999,136,0
962,199512,-9999,146,0
963,199601,-9999,-9999,0
964,199602,-9999,-9999,0
965,199603,-9999,OQ-9999,0
966,199604,-9999,93,0
967,199605,-9999,103,13
968,199606,-9999,-9999,10
969,199607,-9999,-9999,33
970,199608,268,-9999,15
971,199609,-9999,-9999,0
972,199610,-9999,136,0
973,199611,-9999,-9999,0
974,199612,280,-9999,0
975,199701,-9999,-9999,0
976,199702,-9999,122,38
977,199703,-9999,-9999,0
978,199704,-9999,-9999,127
979,199705,311,-9999,0
980,199706,-9999,-9999,0
981,199707,-9999,147,0
982,199708,-9999,-9999,15
983,199709,276,-9999,0
984,199710,-9999,-9999,0
985,199711,285,158,0
986,199712,280,-9999,0
987,199801,-9999,172,0
988,199802,-9999,109,0
989,199803,314,-9999,0
990,199804,353,-9999,18
991,199805,355,106,201
992,199806,-9999,173,0
993,199807,-9999,158,0
994,199909,-9999,-9999,417
995,199910,-9999,-9999,13
996,199911,-9999,-9999,0
997,199912,-9999,-9999,0
998,200001,-9999,-9999,0
999,200002,260,-9999,0
1000,200003,-9999,-9999,0
1001,200004,-9999,99,0
1002,200005,-9999,-9999,0
1003,200006,315,-9999,114
1004,200007,-9999,-9999,8
1005,200008,300,163,8
1006,200009,-9999,-9999,13
1007,200010,282,163,0
1008,200011,287,-9999,99
1009,200012,260,160,0
1010,200101,251,144,-9999
1011,200102,284,103,0
1012,200103,-9999,125,0
1013,200104,326,116,0
1014,200105,333,-9999,0
1015,200106,283,142,0
1016,200107,277,117,84
1017,200108,282,152,0
1018,200109,282,142,0
1019,200110,254,161,10D
1020,200111,-9999,138,-9999
1021,200112,286,117,-9999
1022,200201,265,-9999,-9999
1023,200202,276,107,-9999
1024,200203,-9999,98,-9999
1025,200204,342,117,-9999
1026,200205,347,-9999,0
1027,200206,299,178,0
1028,200207,296,181,36
1029,200208,299,141,-9999
1030,200209,299,154,0
1031,200210,277,126,10
1032,200211,-9999,132,0
1033,200212,276,134,-9999
1034,200301,-9999,-9999,-9999
1035,200302,-9999,96,-9999
1036,200303,-9999,-9999,0
1037,200304,-9999,-9999,-9999
1038,200305,-9999,-9999,0
1039,200306,-9999,-9999,0
1040,200307,-9999,-9999,0
1041,200308,-9999,-9999,0
1042,200309,-9999,-9999,5
1043,200310,-9999,-9999,244
1044,200311,-9999,-9999,-9999
1045,200312,-9999,-9999,0
1046,200401,-9999,-9999,0
1047,200402,286,-9999,0
1048,200403,326,-9999,0
1049,200404,-9999,55,0
1050,200405,-9999,134,-9999
1051,200406,-9999,-9999,0
1052,200407,-9999,-9999,61
1053,200408,-9999,-9999,8
1054,200409,-9999,-9999,295
1055,200410,-9999,-9999,0
1056,200411,302,-9999,-9999
1057,200412,290,-9999,-9999
1058,200501,-9999,136,0
1059,200502,296,115,0
1060,200503,-9999,-9999,0
1061,200504,-9999,124,0
